抗菌药物通用名,匹配规则,规则等级
阿莫罗芬,Amorolfine Hydrochloride,1
阿莫罗芬,Amorolfine Hydrochloride Cream,1
阿莫罗芬,Amorolfine Hydrochloride Liniment,1
阿莫罗芬,Amorolfine　Hydrochloride　Liniment,1
阿莫罗芬,Loceryl,1
阿莫罗芬,盐酸阿莫罗芬,1
阿莫罗芬,盐酸阿莫罗芬乳膏,1
阿莫罗芬,盐酸阿莫罗芬搽剂,1
阿莫罗芬,罗噻尼尔,1
阿莫罗芬,罗每乐,1
阿莫罗芬,阿莫罗芬,1
阿莫罗芬,.*阿莫罗芬.*,2
阿莫罗芬,.*罗噻尼尔.*,3
阿莫罗芬,.*罗每乐.*,4
阿莫西林,AmoxiciIIin CapsuIes,1
阿莫西林,Amoxicilin Capsules,1
阿莫西林,AMOXICILLIN,1
阿莫西林,amoxicillin,1
阿莫西林,Amoxicillin,1
阿莫西林,Amoxicillin Capsules,1
阿莫西林,AMOXICILLIN CAPSULES,1
阿莫西林,Amoxicillin Capsules/Cefalexin Capsules,1
阿莫西林,Amoxicillin Capsules　,1
阿莫西林,Amoxicillin Chewable Tablets,1
阿莫西林,Amoxicillin Cranules,1
阿莫西林,Amoxicillin Dispersible Tablets,1
阿莫西林,Amoxicillin Dry Suspension,1
阿莫西林,Amoxicillin for Suspension,1
阿莫西林,Amoxicillin Granules,1
阿莫西林,Amoxicillin Orally Disintegrating Tablets,1
阿莫西林,Amoxicillin Sodium,1
阿莫西林,Amoxicillin Sodium For Injection,1
阿莫西林,Amoxicillin sodium for Injection,1
阿莫西林,Amoxicillin Sodium for Injection,1
阿莫西林,Amoxicillin Tablets,1
阿莫西林,Amoxicillin Trihydrate,1
阿莫西林,AmoxicillinCapsules,1
阿莫西林,Amoxicllin Capsules,1
阿莫西林,Amoxilin Jiaonang,1
阿莫西林,Amoxilin Tablets,1
阿莫西林,Amoxy,1
阿莫西林,Amoxycillin,1
阿莫西林,aspirin enteric-coated tablets,1
阿莫西林,Uni-Amocin,1
阿莫西林,再林,1
阿莫西林,再灵阿莫仙,1
阿莫西林,奈他美,1
阿莫西林,奥纳欣,1
阿莫西林,安福喜,1
阿莫西林,广林,1
阿莫西林,弗莱莫星,1
阿莫西林,强力阿莫仙,1
阿莫西林,强必林,1
阿莫西林,新达贝宁,1
阿莫西林,日奥,1
阿莫西林,氧他西林,1
阿莫西林,注射用阿莫西林钠,1
阿莫西林,特力士,1
阿莫西林,益萨林,1
阿莫西林,维克阿莫西,1
阿莫西林,酚塔西林,1
阿莫西林,阿摩西林,1
阿莫西林,阿木西林,1
阿莫西林,阿莫仙,1
阿莫西林,阿莫新,1
阿莫西林,阿莫灵,1
阿莫西林,阿莫西林,1
阿莫西林,阿莫西林分散片,1
阿莫西林,阿莫西林口腔崩解片,1
阿莫西林,阿莫西林咀嚼片,1
阿莫西林,阿莫西林干混悬剂,1
阿莫西林,阿莫西林片,1
阿莫西林,阿莫西林肠溶片,1
阿莫西林,阿莫西林胶囊,1
阿莫西林,阿莫西林钠,1
阿莫西林,阿莫西林颗粒,1
阿莫西林,阿莫锋,1
阿莫西林,.*阿莫西林.*,2
阿莫西林,.*再林.*,3
阿莫西林,.*再灵阿莫仙.*,3
阿莫西林,.*奈他美.*,3
阿莫西林,.*奥纳欣.*,3
阿莫西林,.*安福喜.*,3
阿莫西林,.*广林.*,3
阿莫西林,.*弗莱莫星.*,3
阿莫西林,.*强力阿莫仙.*,3
阿莫西林,.*强必林.*,3
阿莫西林,.*新达贝宁.*,3
阿莫西林,.*氧他西林.*,3
阿莫西林,.*特力士.*,3
阿莫西林,.*益萨林.*,3
阿莫西林,.*维克阿莫西.*,3
阿莫西林,.*酚塔西林.*,3
阿莫西林,.*阿摩西林.*,3
阿莫西林,.*阿木西林.*,3
阿莫西林,.*阿莫仙.*,3
阿莫西林,.*阿莫新.*,3
阿莫西林,.*阿莫灵.*,3
阿莫西林,.*阿莫锋.*,3
阿莫西林,.*阿莫灵.*,4
阿莫西林,.*阿莫仙.*,4
阿莫西林,.*益萨林.*,4
阿莫西林,.*再林.*,4
阿莫西林,.*日奥.*,4
阿莫西林氟氯西林,Amoxicillin and Flucloxacillin,1
阿莫西林氟氯西林,Amoxicillin Sodium and Flucloxacillin Sodium for Injection,1
阿莫西林氟氯西林,Flucloxacillin Sodium and Amoxicillin Capsules,1
阿莫西林氟氯西林,弗威,1
阿莫西林氟氯西林,昆柏,1
阿莫西林氟氯西林,氟氯西林钠阿莫西林胶囊,1
阿莫西林氟氯西林,注射用阿莫西林钠氟氯西林钠,1
阿莫西林氟氯西林,阿莫西林/氟氯西林,1
阿莫西林氟氯西林,阿莫西林氟氯西林,1
阿莫西林氟氯西林,阿莫西林钠氟氯西林钠,1
阿莫西林氟氯西林,.*阿莫西林.*氟氯西林.*,2
阿莫西林氟氯西林,.*阿莫西林/氟氯西林.*,3
阿莫西林氟氯西林,.*阿莫西林钠氟氯西林钠.*,3
阿莫西林氟氯西林,.*弗威.*,4
阿莫西林氟氯西林,.*昆柏.*,4
阿莫西林克拉维酸钾,AMOKSIKLAV,1
阿莫西林克拉维酸钾,Amoxiciliin and Clavulanate Pot,1
阿莫西林克拉维酸钾,Amoxicillin and Clavulanate Patassium Tablets,1
阿莫西林克拉维酸钾,Amoxicillin and Clavulanate Potassium Capsules(4:1),1
阿莫西林克拉维酸钾,Amoxicillin and Clavulanate Potassium Chewable Tablets,1
阿莫西林克拉维酸钾,Amoxicillin and Clavulanate Potassium Chewable Tablets （8：1）,1
阿莫西林克拉维酸钾,Amoxicillin and Clavulanate Potassium Chewable Tablets(14:1),1
阿莫西林克拉维酸钾,Amoxicillin and Clavulanate Potassium Dispersible Tables,1
阿莫西林克拉维酸钾,Amoxicillin and Clavulanate Potassium Dispersible Tablets,1
阿莫西林克拉维酸钾,Amoxicillin and Clavulanate Potassium Dispersible Tablets(14:1),1
阿莫西林克拉维酸钾,Amoxicillin and Clavulanate Potassium Dispersible Tablets（4:1）,1
阿莫西林克拉维酸钾,Amoxicillin and Clavulanate Potassium Dispersible Tablets（4：1）,1
阿莫西林克拉维酸钾,Amoxicillin and Clavulanate Potassium for Oral Suspension(7：1),1
阿莫西林克拉维酸钾,Amoxicillin and Clavulanate Potassium For Suspension,1
阿莫西林克拉维酸钾,Amoxicillin and Clavulanate Potassium for Suspension,1
阿莫西林克拉维酸钾,Amoxicillin and Clavulanate Potassium for Suspension（7:1）,1
阿莫西林克拉维酸钾,Amoxicillin and Clavulanate Potassium Granules,1
阿莫西林克拉维酸钾,Amoxicillin and Clavulanate Potassium Tables,1
阿莫西林克拉维酸钾,Amoxicillin and Clavulanate Potassium Tablets,1
阿莫西林克拉维酸钾,AMOXICILLIN AND CLAVULANATE POTASSIUM TABLETS,1
阿莫西林克拉维酸钾,Amoxicillin and Clavulanate Potassium Tablets(7:1),1
阿莫西林克拉维酸钾,Amoxicillin and Clavulanate Potassium Tablets(7：1),1
阿莫西林克拉维酸钾,Amoxicillin and Clavulanate Potassium Tablets（7:1）,1
阿莫西林克拉维酸钾,Amoxicillin and Clavulanate Potassium(2:1),1
阿莫西林克拉维酸钾,Amoxicillin and Clavulanate Potassium(4:1),1
阿莫西林克拉维酸钾,Amoxicillin and Clavulanate Potassium(7:1),1
阿莫西林克拉维酸钾,Amoxicillin and Clavulanate Potassium（14:1）for Suspension,1
阿莫西林克拉维酸钾,Amoxicillin Sodium and Clavlanate Potassium for Injection,1
阿莫西林克拉维酸钾,Amoxicillin Sodium and Clavulanate Potassium,1
阿莫西林克拉维酸钾,Amoxicillin Sodium and Clavulanate Potassium for injection,1
阿莫西林克拉维酸钾,Amoxicillin Sodium and Clavulanate Potassium for Injection,1
阿莫西林克拉维酸钾,Amoxicillin Sodium and Clavulanate Potassium Sterile(5:1),1
阿莫西林克拉维酸钾,Amoxicillin Sodium Clavulanate Potassium,1
阿莫西林克拉维酸钾,Amoxicillin Soudium and Clavulanate Potassium for Injection,1
阿莫西林克拉维酸钾,Amoxicillin Trihyclrte and ClavuLanate potassium,1
阿莫西林克拉维酸钾,Augmentin,1
阿莫西林克拉维酸钾,今利辰,1
阿莫西林克拉维酸钾,健澳,1
阿莫西林克拉维酸钾,力百汀,1
阿莫西林克拉维酸钾,博美欣,1
阿莫西林克拉维酸钾,君尔清,1
阿莫西林克拉维酸钾,奥先,1
阿莫西林克拉维酸钾,安克,1
阿莫西林克拉维酸钾,安奇,1
阿莫西林克拉维酸钾,尤林加,1
阿莫西林克拉维酸钾,巨泰,1
阿莫西林克拉维酸钾,棒林,1
阿莫西林克拉维酸钾,毕林,1
阿莫西林克拉维酸钾,注射用阿莫西林钠克拉维酸钾,1
阿莫西林克拉维酸钾,灵胜再林,1
阿莫西林克拉维酸钾,特迪,1
阿莫西林克拉维酸钾,瑞思,1
阿莫西林克拉维酸钾,盛西凯,1
阿莫西林克拉维酸钾,胜艾,1
阿莫西林克拉维酸钾,舒仙琳,1
阿莫西林克拉维酸钾,莱得怡,1
阿莫西林克拉维酸钾,超青,1
阿莫西林克拉维酸钾,金力舒,1
阿莫西林克拉维酸钾,铿锵,1
阿莫西林克拉维酸钾,阿莫西林/克拉维酸钾,1
阿莫西林克拉维酸钾,阿莫西林/克拉维酸钾混合原料(2:1),1
阿莫西林克拉维酸钾,阿莫西林/克拉维酸钾片,1
阿莫西林克拉维酸钾,阿莫西林克拉维酸钾,1
阿莫西林克拉维酸钾,阿莫西林克拉维酸钾(14:1)干混悬剂,1
阿莫西林克拉维酸钾,阿莫西林克拉维酸钾(2:1),1
阿莫西林克拉维酸钾,阿莫西林克拉维酸钾(2:1)咀嚼片,1
阿莫西林克拉维酸钾,阿莫西林克拉维酸钾(4:1),1
阿莫西林克拉维酸钾,阿莫西林克拉维酸钾(4:1)干混悬剂,1
阿莫西林克拉维酸钾,阿莫西林克拉维酸钾(7:1),1
阿莫西林克拉维酸钾,阿莫西林克拉维酸钾(7:1)片,1
阿莫西林克拉维酸钾,阿莫西林克拉维酸钾分散片,1
阿莫西林克拉维酸钾,阿莫西林克拉维酸钾分散片(14:1),1
阿莫西林克拉维酸钾,阿莫西林克拉维酸钾分散片(4:1),1
阿莫西林克拉维酸钾,阿莫西林克拉维酸钾分散片(7:1),1
阿莫西林克拉维酸钾,阿莫西林克拉维酸钾咀嚼片(14:1),1
阿莫西林克拉维酸钾,阿莫西林克拉维酸钾咀嚼片(7:1),1
阿莫西林克拉维酸钾,阿莫西林克拉维酸钾咀嚼片(8:1),1
阿莫西林克拉维酸钾,阿莫西林克拉维酸钾干混悬剂,1
阿莫西林克拉维酸钾,阿莫西林克拉维酸钾干混悬剂(7:1),1
阿莫西林克拉维酸钾,阿莫西林克拉维酸钾片,1
阿莫西林克拉维酸钾,阿莫西林克拉维酸钾片(14:1),1
阿莫西林克拉维酸钾,阿莫西林克拉维酸钾片(4:1),1
阿莫西林克拉维酸钾,阿莫西林克拉维酸钾片(7:1),1
阿莫西林克拉维酸钾,阿莫西林克拉维酸钾片(7：1),1
阿莫西林克拉维酸钾,阿莫西林克拉维酸钾胶囊(4:1),1
阿莫西林克拉维酸钾,阿莫西林克拉维酸钾颗粒,1
阿莫西林克拉维酸钾,阿莫西林钠/克拉维酸钾,1
阿莫西林克拉维酸钾,阿莫西林钠克拉维酸钾,1
阿莫西林克拉维酸钾,阿莫西林钠克拉维酸钾(5:1),1
阿莫西林克拉维酸钾,阿莫西林钠克拉维酸钾无菌粉(5:1),1
阿莫西林克拉维酸钾,.*阿莫西林.*克拉维酸.*,2
阿莫西林克拉维酸钾,.*阿莫西林/克拉维酸钾.*,3
阿莫西林克拉维酸钾,.*阿莫西林钠/克拉维酸钾.*,3
阿莫西林克拉维酸钾,.*阿莫西林钠克拉维酸钾.*,3
阿莫西林克拉维酸钾,.*尤林加.*,4
阿莫西林克拉维酸钾,.*铿锵.*,4
阿莫西林克拉维酸钾,.*舒仙琳.*,4
阿莫西林克拉维酸钾,.*毕林.*,4
阿莫西林克拉维酸钾,.*力百汀.*,4
阿莫西林克拉维酸钾,.*棒林.*,4
阿莫西林克拉维酸钾,.*奥先.*,4
阿莫西林克拉维酸钾,.*健澳.*,4
阿莫西林克拉维酸钾,.*瑞思.*,4
阿莫西林克拉维酸钾,.*胜艾.*,4
阿莫西林克拉维酸钾,.*金力舒.*,4
阿莫西林克拉维酸钾,.*安奇.*,4
阿莫西林克拉维酸钾,.*盛西凯.*,4
阿莫西林克拉维酸钾,.*今利辰.*,4
阿莫西林克拉维酸钾,.*灵胜再林.*,4
阿莫西林克拉维酸钾,.*安克.*,4
阿莫西林克拉维酸钾,.*莱得怡.*,4
阿莫西林克拉维酸钾,.*巨泰.*,4
阿莫西林克拉维酸钾,.*博美欣.*,4
阿莫西林克拉维酸钾,.*超青.*,4
阿莫西林克拉维酸钾,.*特迪.*,4
阿莫西林克拉维酸钾,.*君尔清.*,4
阿莫西林钠舒巴坦,Amoxiciliin and Sulbactam,1
阿莫西林钠舒巴坦,Amoxicillin and Pivoxil Sulbactan Tablets,1
阿莫西林钠舒巴坦,Amoxicillin and Sulbactam Pivoxil Chewable Tablets,1
阿莫西林钠舒巴坦,Amoxicillin and Sulbactam Pivoxil Tablets,1
阿莫西林钠舒巴坦,Amoxicillin Sodium and Sulbactam sodium for Injection,1
阿莫西林钠舒巴坦,Amoxicillin Sodium and sulbactam Sodium for Injection,1
阿莫西林钠舒巴坦,Amoxicillin Sodium and Sulbactam Sodium for Injection,1
阿莫西林钠舒巴坦,Amoxicillin Sulbactam Pivoxil Capsules,1
阿莫西林钠舒巴坦,Trifamox IBL,1
阿莫西林钠舒巴坦,倍舒林,1
阿莫西林钠舒巴坦,力坦,1
阿莫西林钠舒巴坦,威奇达,1
阿莫西林钠舒巴坦,悉林,1
阿莫西林钠舒巴坦,来切利,1
阿莫西林钠舒巴坦,注射用阿莫西林钠舒巴坦钠,1
阿莫西林钠舒巴坦,特福猛,1
阿莫西林钠舒巴坦,舒萨林,1
阿莫西林钠舒巴坦,西迪林,1
阿莫西林钠舒巴坦,阿莫西林/舒巴坦,1
阿莫西林钠舒巴坦,阿莫西林舒巴坦,1
阿莫西林钠舒巴坦,阿莫西林舒巴坦匹酯咀嚼片,1
阿莫西林钠舒巴坦,阿莫西林舒巴坦匹酯片,1
阿莫西林钠舒巴坦,阿莫西林舒巴坦匹酯胶囊,1
阿莫西林钠舒巴坦,阿莫西林钠/舒巴坦,1
阿莫西林钠舒巴坦,阿莫西林钠舒巴坦,1
阿莫西林钠舒巴坦,.*阿莫西林.*舒巴坦.*,2
阿莫西林钠舒巴坦,.*阿莫西林/舒巴坦.*,3
阿莫西林钠舒巴坦,.*阿莫西林舒巴坦.*,3
阿莫西林钠舒巴坦,.*阿莫西林钠/舒巴坦.*,3
阿莫西林钠舒巴坦,.*悉林.*,4
阿莫西林钠舒巴坦,.*来切利.*,4
阿莫西林钠舒巴坦,.*舒萨林.*,4
阿莫西林钠舒巴坦,.*威奇达.*,4
阿莫西林钠舒巴坦,.*倍舒林.*,4
阿莫西林钠舒巴坦,.*西迪林.*,4
阿莫西林钠舒巴坦,.*特福猛.*,4
阿莫西林钠舒巴坦,.*力坦.*,4
阿莫西林双氯西林,Amoxicillin and Dicloxacillin,1
阿莫西林双氯西林,Amoxicillin and Dicloxacillin Sodium Capsules,1
阿莫西林双氯西林,Amoxicillin and Dicloxacillin Sodium Tablets,1
阿莫西林双氯西林,Diclomox,1
阿莫西林双氯西林,凯力达,1
阿莫西林双氯西林,澳广,1
阿莫西林双氯西林,维净,1
阿莫西林双氯西林,阿莫西林/双氯西林,1
阿莫西林双氯西林,阿莫西林双氯西林,1
阿莫西林双氯西林,阿莫西林双氯西林钠,1
阿莫西林双氯西林,阿莫西林双氯西林钠片,1
阿莫西林双氯西林,阿莫西林双氯西林钠胶囊,1
阿莫西林双氯西林,.*阿莫西林双氯西林.*,2
阿莫西林双氯西林,.*阿莫西林/双氯西林.*,3
阿莫西林双氯西林,.*阿莫西林双氯西林钠.*,3
阿莫西林双氯西林,.*澳广.*,4
阿莫西林双氯西林,.*凯力达.*,4
阿莫西林双氯西林,.*维净.*,4
阿尼芬净,anidulafungin,1
阿尼芬净,阿尼芬净,1
阿尼芬净,.*阿尼芬净.*,2
阿帕西林,Apalcillin,1
阿帕西林,奈啶青霉素,1
阿帕西林,注射用阿帕西林钠,1
阿帕西林,萘啶青霉素,1
阿帕西林,蔡啶青霉素,1
阿帕西林,阿帕西林,1
阿帕西林,阿帕西林钠,1
阿帕西林,.*阿帕西林.*,2
阿帕西林,.*奈啶青霉素.*,3
阿帕西林,.*注射用阿帕西林钠.*,3
阿帕西林,.*萘啶青霉素.*,3
阿帕西林,.*蔡啶青霉素.*,3
阿帕西林,.*阿帕西林钠.*,3
阿扑西林,aspoxicillin,1
阿扑西林,天冬羟氨霉素,1
阿扑西林,阿扑西林,1
阿扑西林,.*阿扑西林.*,2
阿扑西林,.*天冬羟氨霉素.*,3
阿奇霉素,Aqimeisu Piɑn,1
阿奇霉素,Azigyromycin Granules,1
阿奇霉素,Azihromycin Granules,1
阿奇霉素,Azilthromycin Lactobionate For Injection,1
阿奇霉素,Azithomycin Dispersible Tablets,1
阿奇霉素,Azithomycin Tablets,1
阿奇霉素,Azithrommycin Tablets,1
阿奇霉素,Azithromyci Dipersible Tablets,1
阿奇霉素,azithromycin,1
阿奇霉素,Azithromycin,1
阿奇霉素,Azithromycin and Glucose INjection,1
阿奇霉素,Azithromycin and Glucose Injection,1
阿奇霉素,Azithromycin and Gluoese Injection,1
阿奇霉素,Azithromycin and Sodium Chloride Injection,1
阿奇霉素,Azithromycin Aspartate,1
阿奇霉素,Azithromycin Aspartate for Injection,1
阿奇霉素,Azithromycin Capsules,1
阿奇霉素,Azithromycin Dihydrochloride,1
阿奇霉素,Azithromycin Dihydrochloride for Injection,1
阿奇霉素,Azithromycin Dispersible Table,1
阿奇霉素,Azithromycin Dispersible Tablets,1
阿奇霉素,Azithromycin Entercin-coated Capsules,1
阿奇霉素,Azithromycin Enteric-coated Capsules,1
阿奇霉素,Azithromycin Enteric-coated Tablets,1
阿奇霉素,Azithromycin Fine Granules,1
阿奇霉素,Azithromycin for Injection,1
阿奇霉素,Azithromycin for Injetion,1
阿奇霉素,Azithromycin for Suspension,1
阿奇霉素,Azithromycin Fumarate,1
阿奇霉素,Azithromycin Fumarate Capsules,1
阿奇霉素,Azithromycin Fumarate Tablets,1
阿奇霉素,Azithromycin Granules,1
阿奇霉素,Azithromycin Granules(Ⅱ),1
阿奇霉素,Azithromycin Granules（Ⅱ）,1
阿奇霉素,Azithromycin Hydrochloride for Injection,1
阿奇霉素,Azithromycin Hydrochloride Injection,1
阿奇霉素,Azithromycin Injection,1
阿奇霉素,Azithromycin Lactaobionate Injection,1
阿奇霉素,Azithromycin Lactobionate,1
阿奇霉素,Azithromycin Lactobionate for Injection,1
阿奇霉素,Azithromycin Lactobionate Injection,1
阿奇霉素,Azithromycin Maleate,1
阿奇霉素,Azithromycin Maleate for Injection,1
阿奇霉素,Azithromycin Maleate Injection,1
阿奇霉素,Azithromycin Powders,1
阿奇霉素,Azithromycin Sodium Dihydrogen Citrate,1
阿奇霉素,Azithromycin Sodium Dihydrogen Citrate for Injection,1
阿奇霉素,Azithromycin Sodium Dihydrogen Phosphate,1
阿奇霉素,Azithromycin Sodium Dihydrogen Phosphate for Injection,1
阿奇霉素,Azithromycin Soft Capsules,1
阿奇霉素,AZITHROMYCIN SULFATE,1
阿奇霉素,Azithromycin Sulfate for Injection,1
阿奇霉素,Azithromycin Sulfate Injection,1
阿奇霉素,Azithromycin Syrup,1
阿奇霉素,Azithromycin Tablet,1
阿奇霉素,Azithromycin Tablets,1
阿奇霉素,AZITHROMYCIN TABLETS,1
阿奇霉素,AzithromycinCapsules,1
阿奇霉素,Azithromycine Tablets,1
阿奇霉素,Azithromyicn for Suspension,1
阿奇霉素,Azithuomycin Tablets,1
阿奇霉素,Azitromycin Dispersible Tablets,1
阿奇霉素,Sumamed,1
阿奇霉素,Zithromax,1
阿奇霉素,zithromycin,1
阿奇霉素,丽珠奇乐,1
阿奇霉素,乳糖酸阿奇霉素,1
阿奇霉素,乳糖酸阿奇霉素注射液,1
阿奇霉素,亚思达,1
阿奇霉素,亦欧青,1
阿奇霉素,亿松,1
阿奇霉素,依诺达,1
阿奇霉素,信达康,1
阿奇霉素,其仙,1
阿奇霉素,再奇,1
阿奇霉素,利力凯,1
阿奇霉素,利力欣,1
阿奇霉素,利可思,1
阿奇霉素,利普欣,1
阿奇霉素,劲诺,1
阿奇霉素,博抗,1
阿奇霉素,君洁,1
阿奇霉素,君维清,1
阿奇霉素,因培康,1
阿奇霉素,圣诺灵,1
阿奇霉素,奇力青,1
阿奇霉素,奇泰,1
阿奇霉素,奇诺,1
阿奇霉素,奇谷美,1
阿奇霉素,孚新,1
阿奇霉素,安美钦,1
阿奇霉素,宾奇,1
阿奇霉素,富马酸阿奇霉素,1
阿奇霉素,富马酸阿奇霉素片,1
阿奇霉素,富马酸阿奇霉素胶囊,1
阿奇霉素,尤尼克,1
阿奇霉素,岩沙,1
阿奇霉素,希舒美,1
阿奇霉素,开奇,1
阿奇霉素,弗奇,1
阿奇霉素,快迪,1
阿奇霉素,悉美,1
阿奇霉素,抗力健,1
阿奇霉素,明齐欣,1
阿奇霉素,普阳,1
阿奇霉素,林比,1
阿奇霉素,欣匹特,1
阿奇霉素,欣普瑞,1
阿奇霉素,注射用乳糖酸阿奇霉素,1
阿奇霉素,注射用盐酸阿奇霉素,1
阿奇霉素,注射用硫酸阿奇霉素,1
阿奇霉素,注射用门冬氨酸阿奇霉素,1
阿奇霉素,注射用阿奇霉素,1
阿奇霉素,注射用阿奇霉素枸橼酸二氢钠,1
阿奇霉素,注射用阿奇霉素磷酸二氢钠,1
阿奇霉素,注射用马来酸阿奇霉素,1
阿奇霉素,泰力特,1
阿奇霉素,泽奇,1
阿奇霉素,洛奇,1
阿奇霉素,洛贝尔,1
阿奇霉素,津博,1
阿奇霉素,派奇,1
阿奇霉素,派芬,1
阿奇霉素,浦乐齐,1
阿奇霉素,滨齐,1
阿奇霉素,澳立平,1
阿奇霉素,爱米琦,1
阿奇霉素,玉奇,1
阿奇霉素,琦玥,1
阿奇霉素,瑞奇,1
阿奇霉素,瑞琦霖,1
阿奇霉素,百科德瑞,1
阿奇霉素,益欣,1
阿奇霉素,盐酸阿奇霉素,1
阿奇霉素,盐酸阿奇霉素注射液,1
阿奇霉素,硫酸阿奇霉素,1
阿奇霉素,硫酸阿奇霉素注射液,1
阿奇霉素,福瑞欣,1
阿奇霉素,维宏,1
阿奇霉素,维宗,1
阿奇霉素,维路得,1
阿奇霉素,舒美特,1
阿奇霉素,芙琦星,1
阿奇霉素,苏爽,1
阿奇霉素,赛乐欣,1
阿奇霉素,赛奇,1
阿奇霉素,赛金沙,1
阿奇霉素,辰羽,1
阿奇霉素,那琦,1
阿奇霉素,里奇,1
阿奇霉素,金派奇,1
阿奇霉素,锋达齐,1
阿奇霉素,门冬氨酸阿奇霉素,1
阿奇霉素,阿奇红霉素,1
阿奇霉素,阿奇霉素,1
阿奇霉素,阿奇霉素分散片,1
阿奇霉素,阿奇霉素干混悬剂,1
阿奇霉素,阿奇霉素散剂,1
阿奇霉素,阿奇霉素枸橼酸二氢钠,1
阿奇霉素,阿奇霉素氯化钠注射液,1
阿奇霉素,阿奇霉素注射液,1
阿奇霉素,阿奇霉素片,1
阿奇霉素,阿奇霉素磷酸二氢钠,1
